name,url,category,platform_type,discount_notes,discount_percent,active
Footlocker,https://www.footlocker.com,footsite,footlocker,"20% & 25% Off with member codes",20,true
Champs Sports,https://www.champssports.com,footsite,footlocker,"20% & 25% Off with member codes",20,true
Eastbay,https://www.eastbay.com,footsite,footlocker,"20% & 25% Off with member codes",20,true
Hibbett,https://www.hibbett.com,footsite,custom,"15% & 25% Off",15,true
WSS,https://www.wsssports.com,footsite,custom,"10% Off (EMAIL)",10,true
DTLR,https://www.dtlr.com,footsite,custom,"10% Off",10,true
Jimmy Jazz,https://www.jimmyjazz.com,footsite,custom,"$5 Off / Free Shipping $100+",0,true
Snipes,https://www.snipesusa.com,footsite,custom,"Free Shipping $125+",0,true
Shoe Palace,https://www.shoepalace.com,footsite,custom,"",0,true
Renarts,https://www.renarts.com,footsite,shopify,"Order Form pricing",0,true
SNS,https://www.sneakersnstuff.com,tier0_qs,custom,"SNEAKERS code 10% Off / $10 Shipping",10,true
Bodega,https://bdgastore.com,tier0_qs,shopify,"10% off",10,true
Slam Jam,https://slamjam.com,tier0_qs,custom,"Free Shipping $270+",0,true
Sneaker BAAS,https://www.sneakerbaas.com,tier0_qs,shopify,"10% off",10,true
CNCPTS,https://cncpts.com,tier0_qs,shopify,"$250 free shipping",0,true
Corporate Got Em,https://www.corporategotem.com,tier0_qs,shopify,"10% off Email",10,true
Lapstone & Hammer,https://lapstoneandhammer.com,tier0_qs,shopify,"10% Signup",10,true
Nohble,https://nohble.com,tier0_qs,shopify,"Free Shipping $200+",0,true
Oneness,https://www.onenessboutique.com,tier0_qs,shopify,"Free shipping over $200",0,true
Packer,https://packershoes.com,tier0_qs,shopify,"",0,true
Premier,https://thepremierstore.com,tier0_qs,shopify,"15% OFF Email Sign Up / Free Shipping Over $50",15,true
Sneaker Politics,https://sneakerpolitics.com,tier0_qs,shopify,"Sign Up For 15% Off!",15,true
Notre,https://notre-shop.com,tier0_qs,shopify,"",0,true
Suede Store,https://suede-store.com,tier0_qs,shopify,"10% signup discount",10,true
UNKWN,https://www.unknwn.com,tier0_qs,shopify,"",0,true
Afew Store,https://en.afew-store.com,tier0_qs,shopify,"",0,true
Tactics,https://www.tactics.com,tier0_qs,shopify,"Free Shipping Over $60 / 10% off signup",10,true
West NYC,https://www.westnyc.com,tier0_qs,shopify,"",0,true
Xhibition,https://www.xhibition.co,tier0_qs,shopify,"15% Sign Up",15,true
Solestopp,https://www.solestopp.com,tier0_qs,shopify,"10% off your first order",10,true
Alumni NY,https://www.alumniofny.com,tier0_qs,shopify,"",0,true
Feature,https://feature.com,tier0_qs,shopify,"Free Shipping over $250 / 10% off Email sign-up",10,true
Sole Classics,https://soleclassics.com,tier0_qs,shopify,"Free shipping over $150+",0,true
Saint Alfred,https://www.saintalfred.com,tier0_qs,shopify,"Free shipping over $200",0,true
Extra Butter,https://extrabutterny.com,tier0_qs,shopify,"",0,true
Kith,https://kith.com,tier0_qs,shopify,"",0,true
Above The Clouds,https://www.abovethecloudsstore.com,shopify_main,shopify,"",0,true
Addict Miami,https://www.addictmiami.com,shopify_main,shopify,"",0,true
Alife New York,https://alifenewyork.com,shopify_main,shopify,"",0,true
Among Few,https://www.amongstfew.com,shopify_main,shopify,"",0,true
Anti Social Social Club,https://shop.antisocialsocialclub.com,shopify_main,shopify,"",0,true
APB Store,https://www.apbstore.com,shopify_main,shopify,"",0,true
